trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-120.81007757607829,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-100.05989568717048,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-99.88265126869952,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",30,0,-149.9113478912569,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-124.81948305190059,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-59.797025415562416,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-147.3794340459211,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-125.09274204543732,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-45.22643618795687,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-86.9070928782636,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",30,0,-100.21567084313092,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,9,-63.881481730162434,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-63.54737171210364,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,5,-12.693511871921372,"{0: 10, 1: 5, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",35,0,-204.30155798469707,"{0: 23, 1: 3, 2: 4, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-81.71715593141471,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,0,-134.33923460648586,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-84.57358740466731,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
