trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-88.23812036799343,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,12,-51.91098180428754,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-9.312580342061864,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-47.063974084682634,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-122.02664050874652,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-55.05166163778136,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-120.62877391669869,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-95.91445213591858,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-148.3001415797885,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-221.09693349062644,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-157.64194137420805,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,8,-64.07303564311471,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-248.4131137823311,"{0: 15, 1: 5, 2: 4, 3: 2, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,11,-2.902120416417926,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-134.44232479275144,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-199.71643699824347,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-59.36385048886913,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-120.32006646182923,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-197.6538550276894,"{0: 17, 1: 0, 2: 10, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-192.7341459568846,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",30,0,-100.19573472797407,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-85.62056858388594,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-127.41560809065393,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-181.52924918300084,"{0: 6, 1: 4, 2: 7, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-75.44178755646043,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-225.86674349269728,"{0: 12, 1: 1, 2: 7, 3: 2, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",25,0,-115.41899905155238,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-206.8865398348284,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",20,0,-116.31284532575273,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-77.87905131888547,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
